customer_id,Total_Spending,num_of_orders,order_created_date,Return_Count,customer_age,customer_gender_encoded,Recency,Frequency,Average_Order_Value,Customer_segment,Customer_segment_label
41,47469.83,48,2023-11-15 17:34:00.000000,1,39,0,143,2.45,988.95,2,High Value Customers
42,48298.79,20,2023-10-25 16:32:00.000000,1,31,1,149,2.22,2414.94,2,High Value Customers
43,40515.67,14,2023-07-03 02:27:00.000000,1,31,1,98,4.13,2893.98,2,High Value Customers
44,15578.38,33,2023-01-20 02:12:00.000000,1,56,1,240,2.36,472.07,1,Medium Value Customers
45,5334.77,4,2024-01-15 11:22:24.883119,1,13,1,286,3.38,1333.69,0,Low Value Customers
46,34369.53,28,2021-12-06 09:11:00.000000,1,40,1,133,2.32,1227.48,2,High Value Customers
48,22287.55,37,2023-07-27 11:27:00.000000,1,56,0,270,4.72,602.37,1,Medium Value Customers
49,6540.89,42,2023-01-08 04:00:00.000000,1,31,0,292,4.65,155.74,0,Low Value Customers
50,25011.26,30,2022-05-06 11:10:00.000000,1,51,0,271,1.68,833.71,1,Medium Value Customers
51,2202.23,18,2022-09-06 07:36:00.000000,1,46,0,256,1.08,122.35,0,Low Value Customers
52,45511.36,9,2022-10-19 09:39:00.000000,1,70,0,220,1.37,5056.82,2,High Value Customers
53,13309.61,7,2024-01-04 17:24:00.000000,1,53,0,24,1.21,1901.37,1,Medium Value Customers
54,33294.85,36,2022-11-14 09:26:00.000000,1,67,0,135,0.91,924.86,2,High Value Customers
55,15929.7,15,2024-01-14 02:56:00.000000,1,15,1,74,3.53,1061.98,1,Medium Value Customers
56,26243.37,27,2023-11-02 06:20:00.000000,1,28,1,315,0.88,971.98,1,Medium Value Customers
57,27562.16,49,2022-05-23 05:06:00.000000,1,56,0,45,3.08,562.49,1,Medium Value Customers
59,9650.3,5,2021-09-13 16:01:00.000000,1,32,0,33,3.79,1930.06,0,Low Value Customers
60,48494.44,43,2020-04-25 16:07:00.000000,1,41,1,230,2.72,1127.78,2,High Value Customers
61,38869.07,38,2023-05-27 18:13:00.000000,1,69,0,73,0.99,1022.87,2,High Value Customers
62,47005.2,5,2023-10-29 17:12:00.000000,1,24,0,239,3.55,9401.04,2,High Value Customers
65,44793.95,22,2020-08-13 09:58:00.000000,1,59,1,231,1.52,2036.09,2,High Value Customers
67,30096.05,23,2023-07-21 01:02:00.000000,1,44,1,341,2.69,1308.52,2,High Value Customers
68,46132.77,13,2021-02-15 03:16:00.000000,1,57,0,221,3.26,3548.67,2,High Value Customers
70,4880.38,6,2021-12-01 05:12:00.000000,1,40,0,305,1.64,813.4,0,Low Value Customers
71,10201.15,47,2023-07-19 14:02:00.000000,1,53,1,58,1.38,217.05,1,Medium Value Customers
72,2738.75,45,2022-12-13 05:51:00.000000,1,61,0,157,3.81,60.86,0,Low Value Customers
73,16603.85,45,2021-04-01 10:23:00.000000,1,56,1,363,0.89,368.97,1,Medium Value Customers
74,19739.53,42,2023-06-23 18:37:00.000000,1,31,0,260,1.04,469.99,1,Medium Value Customers
75,13931.78,34,2023-12-23 13:30:00.000000,1,22,0,339,0.95,409.76,1,Medium Value Customers
76,41522.51,2,2023-01-17 08:17:00.000000,1,16,1,255,1.23,20761.26,2,High Value Customers
77,18159.29,9,2023-02-03 03:43:00.000000,1,40,1,245,0.11,2017.7,1,Medium Value Customers
79,14406.26,22,2023-07-24 17:31:00.000000,1,69,1,49,3.86,654.83,1,Medium Value Customers
80,27363.46,26,2023-09-01 13:01:00.000000,1,16,0,19,2.71,1052.44,1,Medium Value Customers
81,7475.75,20,2021-03-05 01:14:00.000000,1,34,1,310,0.65,373.79,0,Low Value Customers
83,40208.75,10,2023-12-26 10:24:00.000000,1,50,0,112,0.33,4020.88,2,High Value Customers
85,4190.26,21,2023-06-11 16:28:00.000000,1,34,1,71,2.66,199.54,0,Low Value Customers
87,49350.9,11,2022-10-22 07:17:00.000000,1,18,1,171,4.88,4486.45,2,High Value Customers
88,38726.12,40,2024-01-09 07:28:00.000000,1,21,0,340,4.1,968.15,2,High Value Customers
89,10336.43,21,2023-07-31 13:25:00.000000,1,58,1,263,3.27,492.21,1,Medium Value Customers
90,773.34,18,2023-08-27 12:16:00.000000,1,23,0,234,1.23,42.96,0,Low Value Customers
91,40865.34,2,2024-01-13 04:31:00.000000,1,64,1,268,3.96,20432.67,2,High Value Customers
92,35489.44,36,2023-05-13 01:56:00.000000,1,54,0,143,3.94,985.82,2,High Value Customers
94,36585.85,29,2023-11-23 02:37:00.000000,1,17,1,173,4.62,1261.58,2,High Value Customers
97,38677.88,22,2022-12-18 13:45:00.000000,1,13,1,80,4.77,1758.09,2,High Value Customers
98,4165.21,16,2022-05-26 16:04:00.000000,1,32,0,120,4.24,260.33,0,Low Value Customers
99,18244.05,24,2023-10-22 15:37:00.000000,1,52,0,202,4.8,760.17,1,Medium Value Customers
100,6235.52,2,2023-12-09 15:57:00.000000,1,40,1,171,0.3,3117.76,0,Low Value Customers
103,43223.62,31,2023-11-19 09:16:00.000000,1,12,0,80,1.35,1394.31,2,High Value Customers
104,31353.26,26,2023-05-30 10:18:00.000000,1,28,1,345,1.81,1205.89,2,High Value Customers
105,16879.45,7,2020-03-19 00:54:00.000000,1,49,1,329,1.42,2411.35,1,Medium Value Customers
106,3646.14,36,2023-08-28 14:15:00.000000,1,44,0,247,4.43,101.28,0,Low Value Customers
107,15893.62,37,2022-11-24 01:14:00.000000,1,63,1,129,3.86,429.56,1,Medium Value Customers
109,16596.57,18,2023-02-16 02:30:00.000000,1,35,1,60,2.81,922.03,1,Medium Value Customers
111,36615.51,27,2023-10-24 18:00:00.000000,1,47,1,13,4.04,1356.13,2,High Value Customers
112,32059.09,30,2023-12-13 09:21:00.000000,1,42,0,85,0.49,1068.64,2,High Value Customers
113,44417.03,10,2023-03-27 09:05:00.000000,1,47,0,90,3.98,4441.7,2,High Value Customers
114,23874.64,41,2021-09-01 07:04:00.000000,1,21,1,272,0.35,582.31,1,Medium Value Customers
115,6419.92,31,2019-09-04 14:50:00.000000,1,68,1,129,2.08,207.09,0,Low Value Customers
118,35805.62,16,2020-04-21 02:59:00.000000,1,36,1,270,0.74,2237.85,2,High Value Customers
119,38158.86,19,2022-01-17 10:44:00.000000,1,37,0,148,4.88,2008.36,2,High Value Customers
120,28283.22,49,2021-12-31 10:48:00.000000,1,53,1,354,0.46,577.21,1,Medium Value Customers
121,38662.88,36,2023-03-30 02:37:00.000000,1,34,1,91,3.24,1073.97,2,High Value Customers
122,24942.88,33,2022-12-17 06:41:00.000000,1,31,1,164,1.07,755.84,1,Medium Value Customers
124,26375.28,6,2022-07-10 16:42:00.000000,1,61,1,58,2.63,4395.88,1,Medium Value Customers
125,21663.28,16,2021-12-14 13:33:00.000000,1,35,1,185,2.58,1353.96,1,Medium Value Customers
126,1758.25,45,2023-12-21 18:17:00.000000,1,47,1,352,1.9,39.07,0,Low Value Customers
127,5840.63,4,2022-10-26 17:20:00.000000,1,33,0,287,4.69,1460.16,0,Low Value Customers
128,2055.74,9,2023-12-29 12:16:00.000000,1,40,0,70,0.31,228.42,0,Low Value Customers
129,32002.32,25,2021-04-25 02:06:00.000000,1,66,0,289,3.67,1280.09,2,High Value Customers
131,16060.62,23,2022-07-01 04:02:00.000000,1,59,0,358,4.71,698.29,1,Medium Value Customers
132,25674.25,4,2022-01-04 12:53:00.000000,1,42,0,157,2.4,6418.56,1,Medium Value Customers
133,45424.54,5,2023-11-16 03:06:00.000000,1,58,1,21,3.46,9084.91,2,High Value Customers
134,12839.97,26,2023-04-27 05:28:00.000000,1,13,1,303,3.31,493.84,1,Medium Value Customers
136,20813.95,27,2022-10-09 03:01:00.000000,1,19,0,281,4.73,770.89,1,Medium Value Customers
137,37899.78,4,2021-06-25 00:51:00.000000,1,54,0,136,1.96,9474.94,2,High Value Customers
138,11825.51,21,2022-08-07 09:29:00.000000,1,20,0,20,3.72,563.12,1,Medium Value Customers
139,4310.51,25,2023-06-17 13:42:00.000000,1,49,1,33,1.32,172.42,0,Low Value Customers
141,14842.7,11,2022-09-26 15:54:00.000000,1,20,1,122,4.4,1349.34,1,Medium Value Customers
142,8480.45,31,2023-07-22 16:21:00.000000,1,16,1,227,4.29,273.56,0,Low Value Customers
145,46520.03,17,2020-07-26 04:49:00.000000,1,67,0,166,2.09,2736.47,2,High Value Customers
146,40501.96,7,2023-04-13 06:01:00.000000,1,16,0,50,1.66,5785.99,2,High Value Customers
147,31853.49,41,2024-01-15 10:29:28.317841,1,44,1,362,2.97,776.91,2,High Value Customers
148,43637.3,27,2023-07-04 09:25:00.000000,1,69,1,7,2.96,1616.2,2,High Value Customers
149,40281.77,49,2021-08-30 10:43:00.000000,1,22,1,280,3.03,822.08,2,High Value Customers
151,9735.22,13,2023-12-26 05:08:00.000000,1,57,1,336,0.33,748.86,0,Low Value Customers
152,44681.67,31,2020-07-14 06:05:00.000000,1,43,0,151,0.29,1441.34,2,High Value Customers
155,27197.44,4,2023-08-09 13:26:00.000000,1,55,0,335,4.97,6799.36,1,Medium Value Customers
156,40468.29,9,2023-09-14 08:33:00.000000,1,60,0,121,4.7,4496.48,2,High Value Customers
157,44856.52,43,2023-12-07 06:31:00.000000,1,35,1,148,3.14,1043.17,2,High Value Customers
158,16241.17,45,2021-02-22 11:12:00.000000,1,34,1,93,3.52,360.91,1,Medium Value Customers
159,5947.57,30,2021-03-26 08:40:00.000000,1,30,1,260,0.22,198.25,0,Low Value Customers
160,11782.79,24,2023-12-06 00:52:00.000000,1,33,1,224,3.48,490.95,1,Medium Value Customers
161,21641.84,48,2023-01-06 00:25:00.000000,1,28,0,37,3.25,450.87,1,Medium Value Customers
162,40991.73,42,2023-08-22 04:43:00.000000,1,30,0,153,3.57,975.99,2,High Value Customers
166,43106.16,4,2023-09-03 08:25:00.000000,1,70,0,200,1.44,10776.54,2,High Value Customers
167,844.13,3,2022-07-20 06:13:00.000000,1,49,0,98,2.96,281.38,0,Low Value Customers
168,25781.99,39,2023-12-12 01:11:00.000000,1,54,0,342,1.05,661.08,1,Medium Value Customers
169,21161.84,29,2020-06-08 14:29:00.000000,1,69,1,147,1.85,729.72,1,Medium Value Customers
170,11494.34,21,2023-12-27 11:17:00.000000,1,47,1,217,1.64,547.35,1,Medium Value Customers
171,6433.34,12,2023-01-01 08:05:00.000000,1,64,1,116,1.69,536.11,0,Low Value Customers
172,17211.95,18,2023-10-09 14:15:00.000000,1,57,0,324,0.97,956.22,1,Medium Value Customers
173,47174.03,5,2022-08-30 15:52:00.000000,1,23,1,175,4.64,9434.81,2,High Value Customers
174,16498.55,23,2023-11-13 14:38:00.000000,1,28,1,96,1.43,717.33,1,Medium Value Customers
175,26180.14,17,2023-06-25 06:27:00.000000,1,55,1,164,4.3,1540.01,1,Medium Value Customers
177,35299.44,37,2020-09-30 03:30:00.000000,1,21,0,163,3.96,954.04,2,High Value Customers
178,18499.67,31,2019-12-20 04:20:00.000000,1,61,0,288,3.59,596.76,1,Medium Value Customers
179,48603.21,12,2023-08-20 02:48:00.000000,1,36,0,345,0.46,4050.27,2,High Value Customers
181,48141.14,48,2023-09-24 15:24:00.000000,1,39,1,70,0.7,1002.94,2,High Value Customers
184,12963.22,48,2023-11-16 06:49:00.000000,1,67,0,50,1.19,270.07,1,Medium Value Customers
185,25113.8,22,2020-04-14 10:18:00.000000,1,37,0,207,2.61,1141.54,1,Medium Value Customers
186,15393.48,39,2024-01-01 12:08:00.000000,1,65,1,199,2.39,394.7,1,Medium Value Customers
187,14599.6,45,2023-04-06 05:15:00.000000,1,58,1,56,0.44,324.44,1,Medium Value Customers
189,2325.9,5,2023-01-09 09:44:00.000000,1,57,1,211,1.84,465.18,0,Low Value Customers
190,30673.43,20,2024-01-16 13:22:29.851172,1,29,1,281,0.24,1533.67,2,High Value Customers
191,25382.61,16,2023-07-14 03:54:00.000000,1,31,1,278,0.34,1586.41,1,Medium Value Customers
192,3048.2,10,2022-12-04 18:45:00.000000,1,56,1,58,3.37,304.82,0,Low Value Customers
193,14293.0,12,2022-12-20 10:47:00.000000,1,59,1,16,2.38,1191.08,1,Medium Value Customers
194,45459.16,6,2020-05-10 15:28:00.000000,1,47,1,123,0.69,7576.53,2,High Value Customers
197,12358.31,23,2023-11-06 16:21:00.000000,1,13,1,49,0.75,537.32,1,Medium Value Customers
198,7672.3,25,2023-12-10 06:30:00.000000,1,57,1,219,2.1,306.89,0,Low Value Customers
199,24727.91,21,2023-05-03 04:17:00.000000,1,53,0,361,0.65,1177.52,1,Medium Value Customers
201,49289.7,19,2023-10-13 15:20:00.000000,1,26,1,290,0.61,2594.19,2,High Value Customers
203,12481.74,34,2023-10-05 05:09:00.000000,1,62,0,28,4.11,367.11,1,Medium Value Customers
204,33770.71,40,2020-07-13 15:49:00.000000,1,33,0,142,3.29,844.27,2,High Value Customers
205,38200.17,20,2024-01-04 01:21:00.000000,1,46,0,323,4.67,1910.01,2,High Value Customers
206,12263.06,41,2020-04-28 06:20:00.000000,1,19,1,139,4.48,299.1,1,Medium Value Customers
207,36546.71,3,2024-01-12 06:10:00.000000,1,53,1,7,0.96,12182.24,2,High Value Customers
208,18705.27,7,2022-12-15 01:29:00.000000,1,15,0,2,2.28,2672.18,1,Medium Value Customers
209,31799.14,3,2020-10-06 15:56:00.000000,1,48,1,73,0.33,10599.71,2,High Value Customers
210,31859.72,43,2022-08-01 10:56:00.000000,1,32,1,291,1.16,740.92,2,High Value Customers
211,27020.85,44,2024-01-15 10:38:00.000000,1,35,1,353,2.23,614.11,1,Medium Value Customers
212,4969.34,45,2023-01-26 11:07:00.000000,1,33,1,265,2.71,110.43,0,Low Value Customers
213,41847.47,4,2023-08-11 04:08:00.000000,1,24,1,163,4.92,10461.87,2,High Value Customers
214,16378.61,34,2022-05-28 05:28:00.000000,1,46,1,176,0.41,481.72,1,Medium Value Customers
215,9732.67,6,2024-01-13 07:02:30.737219,1,31,1,356,0.61,1622.11,0,Low Value Customers
217,2518.37,21,2020-03-14 05:54:00.000000,1,68,0,47,1.65,119.92,0,Low Value Customers
218,29749.2,44,2023-11-23 16:55:00.000000,1,12,1,146,3.67,676.12,1,Medium Value Customers
219,34039.44,42,2023-08-11 14:43:00.000000,1,18,1,329,0.18,810.46,2,High Value Customers
220,1321.1,4,2022-07-05 09:49:00.000000,1,57,0,129,0.93,330.28,0,Low Value Customers
222,25848.61,49,2022-04-26 03:05:00.000000,1,19,0,1,0.38,527.52,1,Medium Value Customers
224,11711.54,12,2023-04-01 08:16:00.000000,1,50,1,34,3.66,975.96,1,Medium Value Customers
225,32436.05,21,2024-01-14 10:29:00.000000,1,12,1,43,1.93,1544.57,2,High Value Customers
226,9131.14,47,2023-10-01 07:30:00.000000,1,47,1,302,1.55,194.28,0,Low Value Customers
227,34701.42,34,2023-10-03 02:35:00.000000,1,32,0,228,1.75,1020.63,2,High Value Customers
228,19643.4,7,2022-04-19 06:18:00.000000,1,28,1,128,4.77,2806.2,1,Medium Value Customers
229,46868.13,40,2020-02-10 05:33:00.000000,1,63,0,323,1.23,1171.7,2,High Value Customers
231,7307.29,46,2021-12-08 12:00:00.000000,1,31,0,197,0.11,158.85,0,Low Value Customers
232,17382.78,40,2023-02-17 08:49:00.000000,1,48,0,287,1.28,434.57,1,Medium Value Customers
233,6116.94,21,2023-10-24 17:23:00.000000,1,62,1,92,1.29,291.28,0,Low Value Customers
234,46272.33,25,2023-03-18 07:52:00.000000,1,26,0,296,4.52,1850.89,2,High Value Customers
235,43928.3,6,2024-01-03 14:51:00.000000,1,18,0,181,3.74,7321.38,2,High Value Customers
236,13268.11,27,2022-11-04 18:52:00.000000,1,56,0,125,1.86,491.41,1,Medium Value Customers
237,33169.21,35,2023-08-08 02:53:00.000000,1,21,0,136,4.76,947.69,2,High Value Customers
238,40952.5,44,2021-10-04 09:49:00.000000,1,62,0,233,0.97,930.74,2,High Value Customers
241,27982.44,1,2024-01-15 18:35:31.698711,1,18,0,273,2.45,27982.44,1,Medium Value Customers
242,26717.7,17,2022-12-03 11:14:00.000000,1,28,1,280,2.72,1571.63,1,Medium Value Customers
243,12471.69,5,2023-05-07 01:55:00.000000,1,20,0,160,0.64,2494.34,1,Medium Value Customers
244,5108.59,44,2023-10-24 11:45:00.000000,1,50,0,100,0.66,116.1,0,Low Value Customers
245,44912.18,32,2023-08-15 13:46:00.000000,1,62,0,93,2.62,1403.51,2,High Value Customers
247,45070.69,18,2023-05-08 01:58:00.000000,1,69,1,327,0.25,2503.93,2,High Value Customers
250,31838.52,45,2023-10-19 01:18:00.000000,1,30,1,23,3.67,707.52,2,High Value Customers
251,17281.97,41,2022-10-10 11:30:00.000000,1,41,0,208,2.52,421.51,1,Medium Value Customers
252,17785.87,35,2023-03-15 03:41:00.000000,1,39,0,122,4.78,508.17,1,Medium Value Customers
255,36434.81,36,2021-07-22 09:27:00.000000,1,24,1,184,2.13,1012.08,2,High Value Customers
256,44906.96,42,2022-10-15 11:47:00.000000,1,63,1,4,2.71,1069.21,2,High Value Customers
257,44410.78,10,2022-05-27 10:15:00.000000,1,52,0,271,2.54,4441.08,2,High Value Customers
258,39103.84,2,2023-11-26 05:13:00.000000,1,53,1,155,0.65,19551.92,2,High Value Customers
259,32280.57,18,2023-07-07 08:46:00.000000,1,48,0,251,4.24,1793.36,2,High Value Customers
260,4664.93,35,2022-12-05 14:59:00.000000,1,23,0,48,3.38,133.28,0,Low Value Customers
262,8500.62,43,2023-03-18 08:05:00.000000,1,70,0,25,3.11,197.69,0,Low Value Customers
263,44978.43,22,2022-12-11 10:15:00.000000,1,63,1,170,3.41,2044.47,2,High Value Customers
264,30518.24,5,2023-04-21 02:48:00.000000,1,64,0,129,1.84,6103.65,2,High Value Customers
265,955.25,47,2023-06-15 02:59:00.000000,1,31,0,156,2.04,20.32,0,Low Value Customers
266,5522.84,24,2023-12-20 05:06:00.000000,1,59,0,12,1.15,230.12,0,Low Value Customers
267,33343.34,32,2023-01-18 08:10:00.000000,1,56,1,3,2.57,1041.98,2,High Value Customers
268,750.55,49,2023-07-11 09:59:00.000000,1,55,1,236,4.23,15.32,0,Low Value Customers
269,8460.0,34,2021-03-31 00:13:00.000000,1,34,0,277,2.41,248.82,0,Low Value Customers
270,27662.32,37,2022-03-25 08:48:00.000000,1,24,1,248,3.15,747.63,1,Medium Value Customers
271,34748.81,49,2023-05-12 01:23:00.000000,1,38,1,157,3.14,709.16,2,High Value Customers
272,32772.08,11,2021-08-01 14:00:00.000000,1,37,1,174,4.71,2979.28,2,High Value Customers
273,11601.33,10,2019-12-10 11:53:00.000000,1,64,1,351,1.56,1160.13,1,Medium Value Customers
274,35752.87,23,2023-12-17 10:11:00.000000,1,49,0,299,1.29,1554.47,2,High Value Customers
275,12243.83,38,2022-01-28 14:26:00.000000,1,14,1,78,0.42,322.21,1,Medium Value Customers
277,16607.29,10,2019-10-19 01:28:00.000000,1,42,0,204,4.55,1660.73,1,Medium Value Customers
278,37451.32,43,2023-12-18 05:43:00.000000,1,32,1,70,3.21,870.96,2,High Value Customers
279,32656.83,7,2022-09-09 13:45:00.000000,1,34,1,335,4.88,4665.26,2,High Value Customers
280,42536.56,48,2023-03-02 04:28:00.000000,1,49,0,184,4.32,886.18,2,High Value Customers
282,33051.84,13,2021-05-20 12:27:00.000000,1,61,0,15,0.34,2542.45,2,High Value Customers
283,28631.28,23,2023-07-13 17:39:00.000000,1,59,1,182,3.96,1244.84,1,Medium Value Customers
284,5136.9,11,2021-03-31 11:14:00.000000,1,16,1,55,0.27,466.99,0,Low Value Customers
285,18701.93,35,2023-04-30 15:26:00.000000,1,54,0,348,1.76,534.34,1,Medium Value Customers
286,13627.52,8,2023-09-29 09:43:00.000000,1,12,0,318,0.52,1703.44,1,Medium Value Customers
287,12577.49,23,2023-11-23 03:29:00.000000,1,70,1,172,2.44,546.85,1,Medium Value Customers
288,48664.02,36,2023-03-02 12:10:00.000000,1,18,1,78,2.06,1351.78,2,High Value Customers
290,19958.34,7,2022-06-14 09:08:00.000000,1,51,0,343,3.28,2851.19,1,Medium Value Customers
291,44656.3,10,2023-09-27 12:18:00.000000,1,40,1,249,2.8,4465.63,2,High Value Customers
293,31741.36,12,2023-03-04 03:48:00.000000,1,61,1,197,4.54,2645.11,2,High Value Customers
294,39843.16,31,2023-12-07 12:18:00.000000,1,69,1,318,1.43,1285.26,2,High Value Customers
296,25380.54,11,2023-03-04 16:27:00.000000,1,40,1,356,3.67,2307.32,1,Medium Value Customers
297,29056.74,37,2021-01-02 06:23:00.000000,1,68,1,293,1.64,785.32,1,Medium Value Customers
299,24879.63,26,2023-09-06 04:16:00.000000,1,60,1,170,2.14,956.91,1,Medium Value Customers
300,10164.53,5,2023-04-26 06:46:00.000000,1,59,1,357,0.42,2032.91,1,Medium Value Customers
301,36261.38,47,2022-11-12 09:42:00.000000,1,57,1,211,3.28,771.52,2,High Value Customers
303,14398.23,7,2024-01-04 13:52:00.000000,1,20,1,320,3.8,2056.89,1,Medium Value Customers
304,1703.64,36,2023-12-02 07:29:00.000000,1,66,0,238,3.29,47.32,0,Low Value Customers
305,32450.88,7,2023-10-07 18:48:00.000000,1,32,1,86,2.32,4635.84,2,High Value Customers
308,9266.98,39,2023-10-20 15:00:00.000000,1,44,1,199,0.75,237.61,0,Low Value Customers
309,47052.7,42,2023-08-31 02:53:00.000000,1,51,1,11,1.48,1120.3,2,High Value Customers
310,47719.46,36,2023-06-21 14:20:00.000000,1,44,0,323,1.24,1325.54,2,High Value Customers
311,45785.79,6,2023-06-03 15:37:00.000000,1,59,1,216,4.72,7630.96,2,High Value Customers
312,18822.86,21,2023-08-06 04:47:00.000000,1,36,0,63,0.31,896.33,1,Medium Value Customers
313,1265.1,1,2022-10-09 00:40:00.000000,1,34,0,21,3.26,1265.1,0,Low Value Customers
314,46451.77,2,2023-07-21 02:45:00.000000,1,66,1,171,3.16,23225.88,2,High Value Customers
316,21695.12,3,2023-03-31 03:03:00.000000,1,52,1,157,2.97,7231.71,1,Medium Value Customers
317,48349.41,39,2022-12-15 02:47:00.000000,1,56,1,173,0.87,1239.73,2,High Value Customers
318,48199.19,34,2020-05-27 06:04:00.000000,1,55,0,7,4.53,1417.62,2,High Value Customers
320,42723.97,14,2022-01-23 17:09:00.000000,1,46,1,331,0.4,3051.71,2,High Value Customers
321,15075.22,25,2022-01-24 03:29:00.000000,1,40,1,304,0.11,603.01,1,Medium Value Customers
322,19562.34,37,2020-08-28 04:43:00.000000,1,44,1,79,3.46,528.71,1,Medium Value Customers
323,42631.27,37,2024-01-05 09:56:00.000000,1,54,0,216,3.58,1152.2,2,High Value Customers
324,16187.64,16,2024-01-13 04:42:34.806220,1,50,0,204,0.33,1011.73,1,Medium Value Customers
325,8889.89,15,2023-09-17 18:49:00.000000,1,26,0,297,0.54,592.66,0,Low Value Customers
326,28061.66,48,2023-07-04 05:59:00.000000,1,16,0,238,4.98,584.62,1,Medium Value Customers
327,46839.66,24,2023-10-29 17:29:00.000000,1,19,0,301,0.57,1951.65,2,High Value Customers
328,34953.47,41,2023-12-25 04:48:00.000000,1,49,1,282,4.41,852.52,2,High Value Customers
329,28718.03,8,2023-03-05 11:51:00.000000,1,46,1,151,0.43,3589.75,1,Medium Value Customers
330,5310.24,2,2021-03-20 02:56:00.000000,1,17,1,296,4.24,2655.12,0,Low Value Customers
332,30942.86,42,2022-02-07 03:59:00.000000,1,43,0,182,4.84,736.73,2,High Value Customers
334,49507.67,26,2022-09-28 12:51:00.000000,1,42,0,302,0.25,1904.14,2,High Value Customers
335,7434.16,18,2021-04-18 15:42:00.000000,1,28,0,90,2.15,413.01,0,Low Value Customers
338,26157.32,18,2023-06-08 04:50:00.000000,1,44,1,45,1.33,1453.18,1,Medium Value Customers
339,43929.97,19,2021-10-27 05:19:00.000000,1,46,0,133,1.5,2312.1,2,High Value Customers
340,37168.05,37,2023-09-22 07:18:00.000000,1,33,1,293,4.44,1004.54,2,High Value Customers
341,35002.28,33,2022-10-21 04:35:00.000000,1,58,1,243,2.37,1060.68,2,High Value Customers
342,35272.96,32,2023-08-31 07:23:00.000000,1,15,1,151,2.93,1102.28,2,High Value Customers
343,18294.81,25,2023-07-11 00:09:00.000000,1,32,0,67,0.17,731.79,1,Medium Value Customers
